Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
61,0,1347.77,-54.1011,25.6679,436.759,1087.8,17.136,1069.07,1099.71,21.2646,2284.37,228.712,28.8978,1617.86,392.631,26.9484,781.304,447.12,23.0645,516.998,-7.98387,18.3831,1132.17,-738.412,14.6671,1565.04,1103.62,24.4614,1772.59,-749.071,27.1789,502.889,-753.524,16.4776,-155.417,8.62519,19.6098
62,0,1347.81,-54.1066,25.6616,436.66,1087.68,17.361,1069.08,1099.66,21.2583,2284.32,228.71,28.8701,1617.86,392.637,26.967,781.291,447.178,23.0591,516.93,-8.09368,18.3812,1132.16,-738.379,14.6695,1565.03,1103.58,24.4581,1772.6,-749.075,27.2114,502.816,-753.631,16.4078,-155.445,8.58818,19.5116
63,0,1347.75,-54.0438,25.6121,436.61,1087.76,17.3689,1069.13,1099.64,21.2573,2284.35,228.736,28.8797,1617.87,392.63,26.9622,781.388,447.089,23.0317,516.948,-7.98288,18.3765,1132.16,-738.396,14.6757,1565.04,1103.63,24.482,1772.55,-749.081,27.199,502.625,-753.623,16.3022,-155.417,8.57571,19.6255
64,0,1347.75,-54.12,25.6866,437.326,1087.37,17.6964,1069.1,1099.66,21.2424,2284.38,228.736,28.8866,1617.87,392.625,26.9538,781.421,447.087,23.043,516.889,-7.98356,18.4124,1132.24,-738.377,14.747,1565.05,1103.61,24.4889,1772.58,-749.091,27.2221,502.662,-753.709,16.3109,-155.404,8.60324,19.673
65,0,1347.8,-54.0737,25.6586,437.363,1087.27,17.752,1069.12,1099.67,21.2298,2284.34,228.707,28.8606,1617.85,392.627,26.9438,781.323,447.13,23.0618,516.981,-8.00707,18.4754,1132.2,-738.378,14.7285,1565.03,1103.62,24.4763,1772.57,-749.098,27.1705,502.816,-753.602,16.4051,-155.408,8.59985,19.6115
66,0,1347.79,-54.0959,25.6685,436.675,1087.75,17.3962,1069.09,1099.68,21.2225,2284.33,228.706,28.8541,1617.87,392.636,26.9576,781.29,447.129,23.0396,517.11,-8.1082,18.4785,1132.18,-738.398,14.6793,1565.04,1103.62,24.4943,1772.55,-749.099,27.2247,502.582,-753.692,16.2109,-155.474,8.60523,19.6566
67,0,1347.7,-54.1139,25.6162,437.875,1086.83,18.1309,1069.12,1099.66,21.2577,2284.36,228.712,28.8838,1617.87,392.62,26.9448,781.353,447.096,23.1229,516.811,-7.99212,18.4128,1132.23,-738.377,14.7545,1565.1,1103.61,24.5168,1772.53,-749.127,27.2137,502.839,-753.583,16.4204,-155.474,8.59236,19.6399
68,0,1347.74,-54.0744,25.6353,437.4,1087.24,17.7825,1069.07,1099.7,21.2241,2284.38,228.715,28.8827,1617.88,392.628,26.9604,781.47,447.089,23.0519,516.983,-8.0716,18.3846,1132.19,-738.361,14.6306,1565.04,1103.62,24.4593,1772.5,-749.133,27.1882,502.505,-753.664,16.1982,-155.446,8.57063,19.5438
69,0,1347.73,-54.1079,25.6658,437.456,1087.23,17.7835,1069.05,1099.7,21.2522,2284.34,228.717,28.8727,1617.86,392.629,26.9634,781.32,447.171,23.0393,517.101,-8.16155,18.4196,1132.16,-738.4,14.6544,1565.01,1103.62,24.4578,1772.49,-749.141,27.2298,502.588,-753.663,16.2646,-155.416,8.62673,19.6859
70,0,1347.78,-54.0903,25.6234,437.416,1087.35,17.8528,1069.08,1099.68,21.2616,2284.33,228.711,28.8506,1617.86,392.624,26.9735,781.287,447.169,23.0331,517.006,-8.05857,18.4266,1132.15,-738.389,14.6748,1565.05,1103.61,24.4519,1772.48,-749.165,27.2524,502.564,-753.66,16.2662,-155.392,8.56484,19.6392
